"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"66",101,3,1,1,410,101,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,32.2,0.53675,0.101,3.65,0.0725,NA,2.9,0.05205,NA,3.5,0.0682,NA,2.4,0.01015,0.121,0.503333333333333,0.504423113118765,NA,NA,19.8,3.3385,NA,19.6,-6.46693706387805
"67",102,3,1,1,433,102,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,37.8,0.67985,0.172,7.2,0.1271,0.1605,4.4,0.09385,NA,5.35,0.1096,0.208,7.2,0.1142,0.146,0.255192307692308,0.181993476178244,NA,NA,13.7,2.3705,0.219,14.6,-2.83886551177634
"68",103,3,1,1,412,103,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,25.6,0.34655,0.1365,0.4,0.0066,NA,3.1,0.06885,NA,1.6,0.0321,NA,7.85,0.08775,0.112,0.306433831973175,0.255393349845373,3.3675,21.5,12.65,1.5125,0.1225,8.4,-1.6029012878272
"69",104,3,1,1,435,104,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,0.9903,0.165,8.15,0.1616,NA,4.4,0.0649,NA,9.1,0.17385,0.194,2.55,0.053,NA,0.0425,0.0557836017261341,NA,NA,35.75,5.3695,0.1505,NA,-7.37332327043425
"70",107,3,1,1,398,107,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,1.26065,0.2105,11.8,0.2669,0.227,12.3,0.24735,0.2065,7.15,0.17965,0.2745,1.3,0.0303,0.3515,0.0216666666666667,0.0245107433492346,NA,NA,27.5,5.3645,0.194,15.7,-9.3743478391578
"71",111,3,1,1,421,111,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,38.1,0.63995,0.149,7.05,0.1503,NA,1.85,0.03865,NA,10.55,0.2009,0.186,7.55,0.1207,0.1435,0.261018518518519,0.19419826285952,NA,NA,11.1,1.2935,0.128,9.7,-2.1092267187952
"72",112,3,1,1,400,112,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,0.90115,0.15,6.85,0.13825,0.192,6.05,0.11885,0.1995,3.15,0.05405,0.174,3.3,0.0678,0.2,0.055,0.0872332342779764,NA,NA,40.7,5.2225,0.1325,4.45,-6.37573275327264
"73",113,3,1,1,423,113,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,0.76095,0.127,21.75,0.19615,0.0905,7.25,0.1241,NA,5.45,0.0884,0.1665,3.5,0.0569,NA,0.0583333333333333,0.065117875944152,NA,NA,22.45,3.086,0.1405,NA,-5.79609396029151
"74",114,3,1,1,402,114,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,22.6,0.36265,0.112,4.45,0.0975,NA,5.1,0.10155,NA,3.2,0.06525,NA,6.3,0.0379,0.0595,0.584183673469388,0.534341841124175,3.5145,18.55,3.55,0.6045,NA,2.05,-2.7485034431299
"75",115,3,1,1,425,115,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,33.55,0.63095,0.1865,7.1,0.16805,0.2355,4.5,0.11165,NA,7.75,0.16435,0.217,5.4,0.03555,0.066,0.171300893743793,0.059516042042374,6.1885,29.45,8.85,1.5135,0.1675,28.15,-4.87820301169922
"76",116,3,1,1,404,116,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,33.75,0.56965,0.127,1.25,0.03045,NA,11,0.1848,NA,0,0,NA,8.55,0.12585,0.139,0.58,0.590665928795425,NA,NA,12.95,2.286,NA,9.4,-0.746093960291508
"77",117,3,1,1,427,117,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,1.3924,0.232,6.4,0.1599,0.2525,6.2,0.1518,0.25,7.2,0.1819,0.25,6.65,0.1721,0.259,0.110833333333333,0.124749817093619,NA,NA,33.5,7.267,0.214,13.5,-4.37922758042277
"78",36,4,1,1,63,36,NA,NA,4,1,NA,1,3,NA,NA,NA,NA,60,0.8862,0.1475,7.65,0.1055,0.132,0.95,0.02225,NA,34.9,0.5544,0.158,16.5,0.20405,0.1885,0.275,0.250451248220619,NA,NA,21.1,2.0905,0.1,NA,6.86553233292096
"79",37,4,1,1,38,37,NA,NA,4,1,NA,1,2,NA,NA,NA,NA,40.85,0.6484,0.1535,7.8,0.13965,NA,11.95,0.18075,0.1505,9.45,0.1503,0.1625,11.4,0.1756,0.1705,0.43415514592934,0.426052881182267,NA,NA,13.35,1.999,0.1375,NA,1.66649612605632
