,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000022223,154.2244351,-0.174611503,0.279790161,0.14043447,0.708586504
ENSMUSG00000022225,450.574334,-0.084212436,0.242674747,0.232961073,0.830598718
ENSMUSG00000022226,3.82747502,0.029228108,0.234599782,0.321005908,0.91537225
ENSMUSG00000022227,1.719895324,0.000785781,0.233315667,0.047357098,0.453166623
ENSMUSG00000022228,82.49157932,0.078984884,0.233836333,0.335233971,0.925959569
ENSMUSG00000022231,19.08292365,-0.028838429,0.231087869,0.505606135,0.999871382
ENSMUSG00000022234,1753.384799,-0.266309214,0.195104114,0.054873962,0.485647819
ENSMUSG00000022235,0.958290285,0.003295713,0.233223354,0.423696994,0.976266085
ENSMUSG00000022236,5.660886153,0.013058031,0.231698192,0.706378186,0.999871382
ENSMUSG00000022237,174.0140263,0.130498249,0.256112272,0.187286743,0.780681033
ENSMUSG00000022240,10.93455823,-0.004450968,0.231190212,0.892482638,0.999871382
ENSMUSG00000022241,184.3447747,0.066866281,0.205353285,0.537343199,0.999871382
ENSMUSG00000022244,23.51769177,-0.023116532,0.231154255,0.532541726,0.999871382
ENSMUSG00000022246,13.11034144,0.007292184,0.230528645,0.836308952,0.999871382
ENSMUSG00000022247,154.9854723,-0.214212069,0.302651273,0.083511456,0.584872839
ENSMUSG00000022248,66.41952944,0.034591777,0.222545053,0.639378741,0.999871382
ENSMUSG00000022253,1771.878858,0.156894466,0.258532003,0.153509625,0.731326548
ENSMUSG00000022255,811.4917684,0.000846819,0.203543457,0.995061318,0.999871382
ENSMUSG00000022257,27.89595169,-0.008402386,0.223863182,0.887482349,0.999871382
ENSMUSG00000022261,6.15527375,-0.014081202,0.230868628,0.699372936,0.999871382
ENSMUSG00000022263,91.65038799,-0.01595038,0.225054681,0.79732518,0.999871382
ENSMUSG00000022265,595.9329072,0.124444027,0.239378319,0.236835764,0.835864095
ENSMUSG00000022270,186.0576279,0.336463199,0.437842162,0.036765789,0.40603632
ENSMUSG00000022272,22.12349874,-0.03345665,0.232197447,0.419799802,0.975161153
ENSMUSG00000022280,93.25293421,0.142337813,0.260312879,0.174462304,0.763601742
ENSMUSG00000022283,215844.5509,0.028031208,0.215460008,0.725080598,0.999871382
ENSMUSG00000022285,6573.765665,0.311289579,0.177125727,0.021682152,0.317350479
ENSMUSG00000022286,6.280773253,-0.013359148,0.226119433,0.817090892,0.999871382
ENSMUSG00000022292,66.88585067,0.161084133,0.307286133,0.022326278,0.320588429
ENSMUSG00000022295,202.983632,0.09279357,0.22515825,0.353311906,0.94202313
ENSMUSG00000022297,9.580780959,0.028374876,0.233398293,0.390593563,0.958140793
ENSMUSG00000022299,48.12172578,0.040399657,0.227919562,0.525091142,0.999871382
ENSMUSG00000022300,181.5206069,-0.059462045,0.196095726,0.597343066,0.999871382
ENSMUSG00000022303,4.47416876,0.014616261,0.232247253,0.56716017,0.999871382
ENSMUSG00000022304,84.04273966,0.000666732,0.220479641,0.999579449,0.999871382
ENSMUSG00000022305,3.863309071,-0.013843704,0.232974874,0.331049112,0.923230028
ENSMUSG00000022306,0.091998597,0.003430805,0.233346369,0.734932066,0.999871382
ENSMUSG00000022307,161.5182112,0.18581384,0.308554486,0.075492257,0.559171758
